Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
VL0659/21 (ob_84723),Sandakan,"batu 27, kg. kitagas jalan labuk, sandakan",Village,1,1/4/2021,1/7/2021,Sabah,,,,
0321/2021 (ob_82875),Kota Belud,KG. TANJUNG BATU DARAT,Village,1,4/3/2021,4/6/2021,Sabah,,,,
0219/2021 (ob_82869),Pitas,"KG. KUYUH, PITAS",Village,1,17/2/2021,17/5/2021,Sabah,,,,
0254/21 (ob_82868),Pitas,KG. BATU 9 LAUT,Village,1,11/2/2021,11/5/2021,Sabah,,,,
1162/2021 (ob_82700),Beluran,"Kg. Kaboton Sugut, Beluran",Village,1,11/2/2021,11/5/2021,Sabah,,,,
"1158,1159,1169,1161 (ob_82699)",Pitas,"Kg. Patani, Pitas, Kota Merudu",Village,1,10/2/2021,10/5/2021,Sabah,,,,
1156/2021 (ob_82698),Kota Marudu,"Kg. Radu Laut, Kota Marudu, Kuda",Village,1,8/2/2021,8/5/2021,Sabah,,,,
1152/2021 (ob_82696),Pitas,"kg. ompungoi, pitas, kudat",Village,1,8/2/2021,8/5/2021,Sabah,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Count of State
ob_111908,Sabak Bernam,"LOT.543, JALAN RUMAH REHAT, BAGAN NIRA",Farm,1,23/2/2022,11/8/2022,Selangor,EVENT 3770,,Johor,15
ob_111909,Perlis,"KG. CHE O, MASHID PERMATANG SERDANG",Farm,1,24/5/2022,15/8/2022,Perlis,,,Kedah,18
ob_111907,Jempol,"NO.371, BLOK 2, FELDA PALONG 3, 73460, GEMAS",Farm,1,3/1/2022,8/3/2022,Negeri Sembilan,,,Kelantan,24
MVZS 1825/2021 (ob_103943),Keluang,"FELCRA BT.4, PALOH",Farm,1,17/11/2021,31/3/2022,Johor,,,Melaka,38
MVZS 1839/2021 (ob_103941),Keluang,"T.S.T NO.2, PALOH",Farm,1,17/11/2021,31/3/2022,Johor,,,Negeri Sembilan,31
MVZS 1824/2021 (ob_103940),Keluang,"FELCRA BT.4, PALOH",Farm,1,17/11/2021,31/3/2022,Johor,,,Pahang,34
MVZS 1877/2021 (ob_103939),Keluang,"KM 15, JALAN KLUANG-KOTA TINGGI",Farm,1,22/11/2021,31/3/2022,Johor,,,Perak,81
MVZT0032/2022 (ob_103938),Jempol,"N0. 371, BLOK 2, FELDA PALONG",Farm,1,30/12/2021,30/4/2022,Negeri Sembilan,,,Perlis,25
MVZT(PHG)0031/2022 (ob_103937),Lipis,"KG. SAI, GUA PADANG TENGKU",Farm,1,3/1/2022,31/5/2022,Pahang,,,Pulau Pinang,9
MVZT (PHG)N2545/2021 (ob_103936),Rompin,"LOT 806, KG. SEPAKAT BARAT",Farm,1,6/12/2021,30/4/2022,Pahang,,,Selangor,35
MVZT 3122/2021 (ob_103935),Temerloh,"Kg. Tanjung, Bentong",Farm,1,25/11/2021,31/3/2022,Pahang,,,Terengganu,12
MVZT 2257/2021 (ob_94815),Hulu Selangor,NO 243 KG.SENTOSA FELDA GEDANGSA,Farm,1,20/9/2021,31/12/2021,Selangor,,,,
MVS 1689/2021 (ob_94814),Mersing,TKPM Sungai Mengkuang,Farm,1,11/11/2021,31/3/2022,Johor,,,,
MVS 1687/2021 (ob_94813),Mersing,TKPM Sungai Mengkuang,Farm,1,11/11/2021,31/3/2022,Johor,,,,
MVS 1732/2021 (ob_94812),Mersing,"Kg. Semaloi, Endau",Farm,1,15/11/2021,31/3/2022,Johor,,,,
MVZS 1679/2021 (ob_94810),Mersing,TKPM Sungai Mengkuang,Farm,1,9/11/2021,31/3/2022,Johor,,,,
MVZT (PHG)2569/2021 (ob_94809),Temerloh,"No. 70 Rumah Banjir, Bukit Genting",Farm,1,23/11/2021,31/3/2022,Pahang,,,,
MVZT (PHG)2555/2021 (ob_94808),Lipis,"KG. KUALA KECHAU, KUALA LIPIS",Farm,1,3/12/2021,30/4/2022,Pahang,,,,
MVZT 3112/2021 (ob_94807),Temerloh,"Kg. Tanjung Betong, Jerantut",Farm,1,25/11/2021,31/3/2022,Pahang,,,,
MVZT 3181/2021 (ob_94806),Temerloh,"Pusat Konservasi Hidupan Liar Jenderak Selatan, 28050 Kuala Krau, Temerloh, Pahang",Farm,1,6/12/2021,30/4/2022,Pahang,,,,
MVZT 3109/2021 (ob_94805),Lipis,"LADANG FELDA TERSANG 2,RAUB",Farm,1,23/11/2021,31/3/2022,Pahang,,,,
MVZT 2696/2021 (ob_94804),Alor Gajah,"Jalan Kemus, Simpang Ampat, 7800 Alor Gajah",Farm,1,16/10/2021,28/2/2022,Melaka,,,,
MVZT 2630/2021 (ob_94803),Jasin,"Felda Air Kangkong, 77500 Selandar, Jasin",Farm,1,11/10/2021,28/2/2022,Melaka,,,,
MVZT 2621/2021 (ob_94802),Melaka Tengah,"Bt. 6 1/2, Bukit Rambai, Stualang Daing, Melaka Tengah",Farm,1,27/9/2021,28/2/2022,Melaka,,,,
MVZT 2619/2021 (ob_94800),Alor Gajah,"Bt. 10, Kg. Pulau, Durian Tunggal, 76100 Alor Gajah",Farm,1,6/10/2021,28/2/2022,Melaka,,,,
MVZT 2620/2021 (ob_94801),Melaka Tengah,"Jalan Osman, Kg. Paya Redan, Melaka",Farm,1,10/10/2021,28/2/2022,Melaka,,,,
VRI 6616/2021 (ob_93251),Batang Padang,"KG RAHMAT, CHANGKAT SULAIMAN",Farm,1,21/7/2021,31/12/2021,Perak,,,,
VRI 6517/2021 (ob_93250),Manjung,"NO.15, KG. S. TUNTUNG, 34900 P.REMIS",Farm,1,26/5/2021,31/12/2021,Perak,,,,
MVZT 2353/2021 (ob_93249),Kuala Selangor,"TKPM SUNGAI NILAM, LADANG SG NILAM",Farm,1,16/9/2021,28/2/2022,Selangor,,,,
MVZT 2331/2021 (ob_93248),Bera,No 234 Felda Tembangau 2,Farm,1,27/9/2021,28/2/2022,Pahang,,,,
MVZT 2285/2021 (ob_93247),Jasin,"Lot 565, Jalan Zainal, Kg Chin Chin 77300 Jasin",Farm,1,17/9/2021,28/2/2022,Melaka,,,,
MVZT 2284/2021 (ob_93246),Melaka Tengah,"Kg Solok Jeram, Rumbia, 78000 Alor Gajah",Farm,1,15/9/2021,28/2/2022,Melaka,,,,
MVZT 2283/2021 (ob_93245),Alor Gajah,"Bt 9 3/4, Kg Bangsal, Bukit Rumbia, 78000 Alor Gajah",Farm,1,15/9/2021,28/2/2022,Melaka,,,,
MVZT 2282/2021 (ob_93244),Jasin,"Kg Berangan Enam, Umbai 77300 Merlimau",Farm,1,17/9/2021,28/2/2022,Melaka,,,,
MVZT 2281/2021 (ob_93243),Alor Gajah,"Bt 18 1/2, Kg Lendu Dalam, Alor Gajah",Farm,1,17/9/2021,28/2/2022,Melaka,,,,
MVZT 2280/2021 (ob_93242),Alor Gajah,"M10, Kg Sg Siput, 78000 Alor Gajah",Farm,1,6/9/2021,28/2/2022,Melaka,,,,
MVZT 2279/2021 (ob_93241),Alor Gajah,"Kg Brisu, Alor Gajah, Air Paabas",Farm,1,17/9/2021,28/2/2022,Melaka,,,,
MVZT 2278/2021 (ob_93240),Alor Gajah,"Kg Lanjut Manis, Air Paabas 78000 Alor Gajah",Farm,1,17/9/2021,28/2/2022,Melaka,,,,
MVZT 3039/2021 (ob_93239),Lipis,"KG.SAMAK JANI MELA , KUALA LIPI",Farm,1,12/11/2021,31/3/2022,Pahang,,,,
MVZT 3078/2021 (ob_93238),Bentong,"Sg. Padang Livestock, Kg. Sg. Padang Sertik, Karak",Farm,1,20/11/2021,31/3/2022,Pahang,,,,
MVZT 3036/2021 (ob_93237),Jerantut,"NO.145, BLOK 7, FELDA JENGKA 24, 26400 BANDAR JENGKA",Farm,1,9/11/2021,31/3/2022,Pahang,,,,
MVZT 3035/2021 (ob_93236),Maran,"NO. B. 247, FELDA JENGKA 16, 26400 BANDAR JENGKA",Farm,1,11/11/2021,31/3/2022,Pahang,,,,
MVZT 2867/2021 (ob_93235),Lipis,"KG.SEBERANG JELAI,MUKIM GUA,KUALA LIPIS",Farm,1,28/10/2021,31/3/2022,Pahang,,,,
MVZT 3001/2021 (ob_93234),Sepang,"Jalan Arma, Desa Arma, 43000, Kajang, Bangi",Farm,1,9/11/2021,31/3/2022,Selangor,,,,
MVZT 2928/2021 (ob_93233),Raub,"TKPM Sg. Ketam, Batu Malim, Raub",Farm,1,7/11/2021,31/3/2022,Pahang,,,,
MVZT 3008/2021 (ob_93232),Maran,"UNIT LADANG, UITM JENGKA, 26400 BANDAR JENGKA",Farm,1,8/11/2021,31/3/2022,Pahang,,,,
MVZT 3006/2021 (ob_93231),Temerloh,"H 221, FELDA SUNGAI NEREK, 26400 BANDAR JENGKA",Farm,1,6/11/2021,31/3/2022,Pahang,,,,
MVZT 2927/2021 (ob_93230),Bentong,"Rezab Haiwan Kg Telebong, 28600 Karak, Bentong",Farm,1,8/11/2021,31/3/2022,Pahang,,,,
MVZT 2926/2021 (ob_93229),Bentong,"No. 132, (P) Mempaga 3, 28600 Bentong",Farm,1,8/10/2021,28/2/2022,Pahang,,,,
MVZT 2856/2021 (ob_93228),Rembau,"Bt. 2, Kg. Anak Air Kundur, 71400 Pedas",Farm,1,27/10/2021,28/2/2022,Negeri Sembilan,,,,
VRI 7108/2021 (ob_93227),Hulu Perak,"PADANG RAGUT TEMELONG KUMPULAN A,33400, LENGGONG",Farm,1,6/10/2021,28/2/2022,Perak,,,,
VRI 6842/2021 (ob_93226),Hulu Perak,"PADANG RAGUT PADANG TEMELONG KUMPULAN B,33400, LENGGONG",Farm,1,27/9/2021,28/2/2022,Perak,,,,
MVZT 2572/2021 (ob_93225),Kuantan,"PTH Ulu Lepar, KM42, Jalan Gambang, Kuantan",Farm,1,20/10/2021,28/2/2022,Pahang,,,,
VRI 7045/2021 (ob_93224),Hilir Perak,Kampung Sungai Balai Darat 36200 Selekoh Bagan Datuk,Farm,1,1/9/2021,28/2/2022,Perak,,,,
MVZT 2724/2021 (ob_93223),Raub,"Ladang Sungai Klau, 27600 Raub",Farm,1,10/10/2021,28/2/2022,Pahang,,,,
MVZT 2723/2021 (ob_93222),Raub,Kampung Kundang Patah,Farm,1,17/10/2021,28/2/2022,Pahang,,,,
MVZT 2662/2021 (ob_93221),Jempol,"Peti Surat 25, Pejabat Pos Kemayan, 28380 Kemayan",Farm,1,13/10/2021,28/2/2022,Negeri Sembilan,,,,
MVZT 2459/2021 (ob_93217),Rembau,"Kg. Kundur Hulu, 71300 Rembau",Farm,1,1/10/2021,28/2/2022,Negeri Sembilan,,,,
MVZT 2458/2021 (ob_93194),Rembau,"Lot 1535, Kg. Sg. Batu, 71400 Pedas",Farm,1,4/10/2021,28/2/2022,Negeri Sembilan,,,,
MVZS 1499/2021 (ob_93193),Kota Tinggi,"B1, Felda Bukit Besar, Kota Tinggi",Farm,1,20/10/2021,28/2/2022,Johor,,,,
MVZT 2567/2021 (ob_93192),Rompin,"Felda Keratong 9, Muadzam Shah",Farm,1,11/10/2021,28/2/2022,Pahang,,,,
MVZT 2566/2021 (ob_93191),Rompin,"No. 478, Jalan Janglau 2, 26800 Kuala Rompin",Farm,1,8/10/2021,28/2/2022,Pahang,,,,
MVZT 2457/2021 (ob_93218),Port Dickson,"Kg. Kundur Tengah, Batu 7 1/2, 71400 Pedas",Farm,1,1/10/2021,28/2/2022,Negeri Sembilan,,,,
MVZTK 2180/2021 (ob_93190),Kuala Terengganu,Kg. Baru Tetambah,Farm,1,21/9/2021,28/2/2022,Terengganu,,,,
MVZTK 2181/2021 (ob_93189),Kuala Terengganu,438A Kg. Pujuk,Farm,1,21/9/2021,28/2/2022,Terengganu,,,,
MVZTK 2176/2022 (ob_93188),Kuala Terengganu,"Lot 10223, Kg. Baru Tetambah",Farm,1,21/9/2021,28/2/2022,Terengganu,,,,
MVZTK 2177/2021 (ob_93187),Kuala Terengganu,Kampung Padang Pulau Manis Serada,Farm,1,21/9/2021,28/2/2022,Terengganu,,,,
MVZS 1458/2021 (ob_93186),Segamat,TKPM Bukit Mentaus,Farm,1,6/10/2021,28/2/2022,Johor,,,,
MVZS 1491/2021 (ob_93185),Pontian,"JPL 34, Lot 2214, Lorong Hj. Nahid, Kg. PT Ibrahim, Pontian",Farm,1,4/10/2021,28/2/2022,Johor,,,,
MVZT 2455/2021 (ob_93182),Hulu Selangor,NO PT 2703 MUKIM ULU YAM JLN RASA-BKT BERUNTUNG,Farm,1,1/10/2021,28/2/2022,Selangor,,,,
MVZT 2492/2021 (ob_93180),Pekan,Kg. Acheh,Farm,1,3/10/2021,28/2/2022,Pulau Pinang,,,,
MVZT 2491/2021 (ob_93178),Pekan,"No. 264, Block 22, Fekda Chini 02",Farm,1,7/10/2021,28/2/2022,Pulau Pinang,,,,
MVZT 2436/2021 (ob_93177),Kuala Langat,"Sg Buaya, Hulu Selangor",Farm,1,30/9/2021,31/12/2021,Selangor,,,,
MVZT 2435/2021 (ob_93176),Hulu Selangor,Kg Gumut Tambahan Kalumpang,Farm,1,30/9/2021,31/12/2021,Selangor,,,,
MVZT 2402/2021 (ob_93175),Sepang,"LADANG 16, FAKULTI PERTANIAN UPM",Farm,1,29/9/2021,31/12/2021,Selangor,,,,
MVZT 2444/2021 (ob_93173),Jasin,"8584, Taman Sri Merlimau, 77300 Merlimau",Farm,1,30/9/2021,31/12/2021,Melaka,,,,
MVZT 2443/2021 (ob_93172),Jasin,"Lot 467, Jln Kolam Ayer Panas, 77200 Jasin",Farm,1,27/9/2021,31/12/2021,Melaka,,,,
MVZT 2393/2021 (ob_93171),Alor Gajah,"Bt. 9 1/2, Kg Rumbia, 78000 Alor Gaja",Farm,1,24/9/2021,31/12/2021,Melaka,,,,
MVZT 2392/2021 (ob_93170),Melaka Tengah,"Lot 2462, Batu 6 1/2, Jalan Paya Dalam, Bukit Lintang",Farm,1,9/9/2021,31/12/2021,Melaka,,,,
MVZT 2384/2021 (ob_93169),Jelebu,"No. 22, Felda Titi, 71650 Titi",Farm,1,29/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2379/2021 (ob_93168),Rembau,"Kg. Hj. Sulaiman, Jln Pandiang 8, Titian Bintangor",Farm,1,29/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2365/2021 (ob_93167),Sepang,"Jalan Maeps-Mardi, Serdang, Petaling",Farm,1,20/9/2021,31/12/2021,Selangor,,,,
MVZT 2352/2021 (ob_93166),Petaling,"Lot 645, Lorong Delima 6, Paya Jaras Hilir, Sg. Buloh, Petaling",Farm,1,20/9/2021,31/12/2021,Selangor,,,,
MVZT 2277/2021 (ob_93165),Jasin,"JB 6776, Taman Batang Melaka Jaya, 77500 Jasin",Farm,1,13/9/2021,31/12/2021,Melaka,,,,
MVZT 2274/2021 (ob_93164),Jasin,"Batu 23 1/2, Jalan Loji Air, Kg Chin Chin 77300 Jasin",Farm,1,13/9/2021,31/12/2021,Melaka,,,,
MVZT 2258/2021 (ob_93163),Jempol,"No.118, Felda Palong 16",Farm,1,21/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2248/2021 (ob_93162),Petaling,"PAYA JARAS , SUNGAI BULOH",Farm,1,20/9/2021,31/12/2021,Selangor,,,,
VRI 6449/2021 (ob_93161),Larut and Matang,MAAHAD TAHFIZ QIAM BATU HAMPAR 34800 TRONG,Farm,1,1/9/2021,31/12/2021,Perak,,,,
VRI 6443/2021 (ob_93160),Batang Padang,KG MAK TEH,Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6442/2021 (ob_93159),Batang Padang,KG MAK TEH,Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6441/2021 (ob_93158),Batang Padang,"KG BARU PEKAN GETAH, TAPAH ROAD",Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6440/2021 (ob_93157),Batang Padang,"NO 57 A, BATU 7, KG KENANGAN",Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6439/2021 (ob_93156),Batang Padang,"Kg. Kassim, Tapah Road",Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6367/2021 (ob_93155),Manjung,132 JALAN PERTANIAN 32700 BERUAS,Farm,1,3/9/2021,31/12/2021,Perak,,,,
VRI 6366/2021 (ob_93154),Larut and Matang,TAMAN IKHWAN BATU HAMPAR DALAM BERUAS,Farm,1,3/9/2021,31/12/2021,Perak,,,,
VRI 6326/2021 (ob_93153),Batang Padang,"NO 18 B, KG KENANGAN",Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6325/2021 (ob_93152),Batang Padang,KG SABAR JAYA (LDT 327),Farm,1,6/9/2021,31/12/2021,Perak,,,,
VRI 6324/2021 (ob_93151),Batang Padang,"KG TIANG BERTARAH , SUNGKAI",Farm,1,6/9/2021,31/12/2021,Perak,,,,
MVZT 2159/2021 (ob_93150),Hulu Selangor,SN 16 TKPM SG NILAM,Farm,1,9/9/2021,31/12/2021,Selangor,,,,
MVZT 2162/2021 (ob_93149),Port Dickson,"No 190 A, Kampung Cina, Bukit Pelanduk",Farm,1,14/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2181/2021 (ob_93148),Melaka Tengah,"819SC, Kg Tun Razak, Bukit Katil",Farm,1,9/9/2021,31/12/2021,Melaka,,,,
MVZT 2180/2021 (ob_93147),Alor Gajah,"Bt 15, Kg Paku, Kelemak, 78000 Alor Gajah",Farm,1,9/9/2021,31/12/2021,Melaka,,,,
MVZT 2179/2021 (ob_93146),Alor Gajah,"Bt 28 1/4, Kg Padang Kambing, Sg Buluh 78000 Alor Gajah",Farm,1,9/9/2021,31/12/2021,Melaka,,,,
MVZT 2178/2021 (ob_93145),Alor Gajah,"Kg Gedang, Rantau Panjang, Air Paabas 78000 Alor Gajah",Farm,1,9/9/2021,31/12/2021,Melaka,,,,
MVZT 2177/2021 (ob_93144),Jasin,"Kg Sempang, Bukit Kuda 3, Sempang Merlimau",Farm,1,7/9/2021,31/12/2021,Melaka,,,,
MVZT 2176/2021 (ob_93143),Jasin,"Kg Serkam Tengah, Lorong Tok Kechut, Serkam Merlimau",Farm,1,7/9/2021,31/12/2021,Melaka,,,,
MVZT 2182/2021 (ob_93142),Alor Gajah,"No.6425, Kelemak, Rumbia, 78000 Alor Gajah",Farm,1,9/9/2021,31/12/2021,Melaka,,,,
MVZT 2030/2021 (ob_93141),Petaling,"Glenmarie, Bukit Raja, Shah Alam",Farm,1,8/9/2021,31/12/2021,Selangor,,,,
MVZT 2101/2021 (ob_93140),Jempol,"No.40 Kampung Kuala Jempol, 72100 Bahau",Farm,1,8/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2061/2021 (ob_93139),Alor Gajah,"Bt 6 1/2, Solok Setulang Daeng, Bukit Rambai",Farm,1,3/9/2021,31/12/2021,Melaka,,,,
MVZT 2039/2021 (ob_93138),Jempol,"Batu 43 ?, Kampung Serting Ulu, 72200 Batu Kikir",Farm,1,7/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2029/2021 (ob_93137),Port Dickson,"Kg. Gopal Raju, 71000 Port Dickson",Farm,1,7/9/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 2018/2021 (ob_93136),Kuala Pilah,"Kg. Ampang Batu, Sepri",Farm,1,1/9/2021,31/12/2021,Negeri Sembilan,,,,
VRI 5879/2021 (ob_93135),Kinta,"Kg khuchai.Lambor kiri,32600 Bota",Farm,1,13/8/2021,31/12/2021,Perak,,,,
MVZT 1774/2021 (ob_93134),Gombak,PASIR LEBAR KM21 JALAN SG TUA BATU GOMBAK SELANGOR,Farm,1,18/8/2021,31/12/2021,Selangor,,,,
VRI 5352/2021 (ob_93133),Hilir Perak,"Ladang Alaf Samudera, Jalan Bidor, Teluk Intan",Farm,1,3/8/2021,31/12/2021,Perak,,,,
VRI 5285/2021 (ob_93132),Padang Terap,"Kg Kuala Pai , Mukim Padang Tembak, Kuala Nerang",Farm,1,29/7/2021,31/12/2021,Kedah,,,,
MZVT 1575/2021 (ob_93131),Kuala Selangor,"LOT 4382 BATU 2 SIMPANG 3 JERAM, Kuala Selangor",Farm,1,2/8/2021,31/12/2021,Selangor,,,,
MZVT 1574/2021 (ob_93130),Kuala Selangor,BATU 6 KG ASAHAN PASANGAN KUALA SELANGOR,Farm,1,2/8/2021,31/12/2021,Selangor,,,,
MZVT 1538/2021 (ob_93129),Kuala Selangor,BATU 46 SEPAKAT BATANG BERJUNTAI 45600 KUALA SELANGOR,Farm,1,22/7/2021,31/12/2021,Selangor,,,,
VRI 4751/ 2021 (ob_93128),Manjung,"Simpang 5,32000 Sitiawan",Farm,1,26/5/2021,31/12/2021,Perak,,,,
VRI 4685/2021 (ob_93127),Manjung,"No 138, Kg Matang Acheh, 34900 P. Remis",Farm,1,26/5/2021,31/12/2021,Perak,,,,
VRI 4684/2021 (ob_93126),Batang Padang,"Kg Batu Mesjid, 35350, Temoh",Farm,1,28/6/2021,31/12/2021,Perak,,,,
VRI 4653/2021 (ob_93125),Pokok Sena,"Kg Genting Palas, Belimbing Kanan,",Farm,1,15/6/2021,31/12/2021,Kedah,,,,
VRI 5840/2021 (ob_90854),Hulu Perak,"PADANG RAGUT PADANG GERUS,33400, LENGGONG, PERAK",Farm,1,16/8/2021,31/12/2021,Perak,,,,
VRI 5833/2021 (ob_90853),Manjung,"NO 46 BT 40, KG TENGAH 32700 BERUAS",Farm,1,19/8/2021,31/12/2021,Perak,,,,
VRI 5670/2021 (ob_90852),Hulu Perak,"PADANG RAGUT CHEPOR,33400, LENGGONG, PERAK",Farm,1,16/8/2021,31/12/2021,Perak,,,,
VRI 5661/2021 (ob_90851),Manjung,"Kg semangat 2,Titi Gantong",Farm,1,6/8/2021,31/12/2021,Perak,,,,
MVZT 1910/2021 (ob_90848),Sabak Bernam,"Jelutong Jati, KM 41, Jalan Tanjung Malim- sg. Besar",Farm,1,2/9/2021,31/12/2021,Selangor,,,,
MVZT 947/2021 (ob_90846),Alor Gajah,"Kg Machap, Alor Gajah Melaka",Farm,1,31/8/2021,31/12/2021,Melaka,,,,
MVZT 1946/2021 (ob_90843),Jasin,"Kg Geluk Pecah, 77300 Merlimau, Jasin Melaka",Farm,1,31/8/2021,31/12/2021,Melaka,,,,
MVZT 1944/2021 (ob_90841),Melaka Tengah,"Lot 1182, Jalan Sungai Udang, 76300 Sg Udang, Melaka",Farm,1,26/8/2021,31/12/2021,Melaka,,,,
MVZT 1741/2021 (ob_90833),Klang,LOT 3776 LORONG BAKRI JALAN KEBAN SEKSYEN 32 KLANG SELANGOR,Farm,1,14/8/2021,31/12/2021,Selangor,,,,
MVZT 1740/2021 (ob_90832),Klang,NO 38A BATU 15 JALAN KAPAR KLANG SELANGOR,Farm,1,15/8/2021,31/12/2021,Selangor,,,,
VRI 5263/2021 (ob_90831),Kampar,"Lembah Kluang, Kubu Gajah 34130, Selama, Perak",Farm,1,27/6/2021,31/12/2021,Perak,,,,
VRI 5019/2021 (ob_90830),Kuala Kangsar,Ladang Jln Lintang Sg. Siput,Farm,1,15/7/2021,31/12/2021,Perak,,,,
VRI 4863/2021 (ob_90829),Kinta,"Kampung Air Kolam, Changkat Kinding, 31250 Tg Rambutan",Farm,1,9/7/2021,31/12/2021,Perak,,,,
VRI 4717/2021 (ob_90828),Perak Tengah,"Lot 955, Kg Lengkuas",Farm,1,30/6/2021,31/12/2021,Perak,,,,
VRI 4455/2021 (ob_90827),Kinta,"No 39,Laluan Murni 2, Taman Pusing Murni",Farm,1,21/6/2021,31/12/2021,Perak,,,,
VRI 4454/2021 (ob_90826),Kinta,"Batu 8, Jalan Tanjung Tualang",Farm,1,21/6/2021,31/12/2021,Perak,,,,
MVZT 1804/21 (ob_90529),Kuala Langat,"Lot 456, Indah Perdana, Kg. Endah, Morib",Farm,1,16/8/2021,31/12/2021,Selangor,,,,
MVZT 1806/21 (ob_90528),Jempol,"Ladang Felda Palong 12, Gemas",Farm,1,18/8/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 1773/21 (ob_90527),Seremban,"No.19, kg. pasir tengah, siliau, rantau",Farm,1,16/8/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 1871/21 (ob_90526),Melaka Tengah,"KM16, Kg Paya Rumput Jaya, Tangga Batu, 76300 Sg Udang, Melaka",Farm,1,26/8/2021,31/12/2021,Melaka,,,,
MVZT 1870/21 (ob_90525),Melaka Tengah,"Bt.9, Air Salak, Bukit Rambai, Melaka",Farm,1,26/8/2021,31/12/2021,Melaka,,,,
MVZT 1751/21 (ob_90524),Jempol,"No. 189, Blok 9, Felda Serting Hilir, Bandar seri Jempol",Farm,1,16/8/2021,31/12/2021,Negeri Sembilan,,,,
MVZTK 1677/21 (ob_90523),Pasir Mas,"Kg Bukit Tuku Kangkong, 17000 Pasir Mas, Kelantan",Farm,1,29/7/2021,31/12/2021,Kelantan,,,,
MVZTK 1647/21 (ob_90521),Marang,KAMPUNG PADANG MENGKUANG,Farm,1,5/8/2021,31/12/2021,Terengganu,,,,
MVZTK 1645/21 (ob_90520),Hulu Terengganu,LOT 4767 KAMPUNG BUKIT PERPAT,Farm,1,6/8/2021,31/12/2021,Terengganu,,,,
MVZTK 1639/21 (ob_90519),Marang,KAMPUNG BUKIT CERANA,Farm,1,4/8/2021,31/12/2021,Terengganu,,,,
MVZTK 1631/21 (ob_90517),Marang,KG BINJAI BONGKOK,Farm,1,8/8/2021,31/12/2021,Terengganu,,,,
MVZT 1657/21 (ob_90516),Jempol,"No.447, Felda Raja Alias 4, 72120 Bandar Seri Jempol, N.Sembilan",Farm,1,11/8/2021,31/12/2021,Negeri Sembilan,,,,
VRI 5306/21 (ob_90515),Hilir Perak,"Kampung Sri Perkasa, 36400 Hutan Melintang",Farm,1,7/7/2021,31/12/2021,Perak,,,,
VRI 5305/21 (ob_90514),Hilir Perak,"Kampung Sungai Keli, 36400 Hutan Melintang",Farm,1,7/7/2021,31/12/2021,Perak,,,,
VRI 5274/21 (ob_90513),Perak Tengah,Pertubuhan Peladang Kawasan Bota,Farm,1,15/7/2021,31/12/2021,Perak,,,,
VRI 5273/21 (ob_90511),Perak Tengah,"Jalan Anjung Abdullah, Biak Darat 36800 Kampung Gajah",Farm,1,19/7/2021,31/12/2021,Perak,,,,
VRI 5272/21 (ob_90510),Perak Tengah,"Kompleks Institut Pertanian Titi Gantung (IPTG), Lebuh Raya Ipoh-Lumut (Hala Lumut), Titi Gantung",Farm,1,15/7/2021,31/12/2021,Perak,,,,
MZVT 1640/21 (ob_90509),Hulu Selangor,"Peringkat 4, kg. sg Buaya",Farm,1,1/8/2021,31/12/2021,Selangor,,,,
MZVT 1639/21 (ob_90508),Jempol,"Felda Raja Alias 4, Jempol, Negeri Sembilan",Farm,1,5/8/2021,31/12/2021,Negeri Sembilan,,,,
MZVT 1638/21 (ob_90506),Jempol,"52, Kg Baru Air Hitam, Jempol, Negeri Sembilan",Farm,1,5/8/2021,31/12/2021,Negeri Sembilan,,,,
VRI 5216/21 (ob_90492),Kinta,"Lot 62 Kampung Sri Khantan, 31750 Tronoh",Farm,1,26/7/2021,31/12/2021,Perak,,,,
MVZT 1610/21 (ob_90471),Rembau,KG PADANG LEBAR 71350 KOTA REMBAU,Farm,1,4/8/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 1592/21 (ob_90469),Jempol,"NO 231 BLOK K,(F) GUGUSAN RAJA ALIAS 3,72120 BSJ",Farm,1,1/8/2021,31/12/2021,Negeri Sembilan,,,,
MVZT 1589/2021 (ob_90468),Jempol,"NO 45R,KAMPUNG TAMAN JAYA,72100 BAHAU",Farm,1,1/8/2021,31/12/2021,Negeri Sembilan,,,,
