Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
ob_111918,Keluang,"LOT.219, 251, BT. 24, JALAN MERSING, KAHANG, KLUANG",Farm,1,26/12/2022,31/3/2023,Johor,,,,
ob_111919,Kuala Kangsar,"55, LEBUH KLEDANG 1, KAMY PARK MENGLEMBU",Farm,1,27/12/2022,31/3/2023,Perak,,,,
ob_111920,Kuala Terengganu,TANJUNG BUNUT,Forest,1,12/12/2022,31/3/2023,Terengganu,,,,
ob_111915,Dungun,"FELDA KERTEH 05, KETENGAH JAYA",Forest,1,29/11/2022,1/3/2023,Terengganu,,,,
ob_111914,Kuantan,LADANG PULAU MANIS,Farm,1,21/11/2022,1/3/2023,Pahang,,,,
ob_111913,Alor Gajah,"EXCLUSIVE PESONA SDN. BHD. LADANG GADEK. 78000, ALOR GAJAH",Forest,1,17/11/2022,1/3/2023,Melaka,,,,
ob_111912,Pekan,"NO.2, LORONG DESA ASPA COTTAGE 5, KUANTAN",Forest,1,9/11/2022,1/3/2023,Pahang,,,,
ob_111911,Kuala Pilah,KG. SRI PARIT,Forest,1,28/10/2022,28/1/2023,Negeri Sembilan,,,,
ob_108413,Tampin,"PTH JELAI GEMAS, 73400, GEMAS",Forest,1,2/11/2022,2/2/2023,Negeri Sembilan,,,,
ob_108412,Kerian,"1, KG. LIAN SENG, 34350, KUALA KURAU",Farm,1,14/9/2022,14/12/2022,Perak,,,,
ob_107276,Kerian,"BT.2.5, JLN. TALI AIR SIMPANG LIMA, PARIT BUNTAR",Farm,1,14/9/2022,14/12/2022,Perak,,,,
MVZT(KLT) (ob_105762),Hulu Terengganu,"PUSAT SANTUARI GAJAH, SG. DEKA",Forest,1,6/7/2022,6/10/2022,Terengganu,,,,
MVZT(KLT) 1545/2022 (ob_105761),Kemaman,"FELDA CHERUL, BANDI",Forest,1,6/7/2022,6/10/2022,Terengganu,,,,
MVZT(KLT) 1541/2022 (ob_105760),Kemaman,LADANG PUTRA SOUTH,Forest,1,6/7/2022,6/10/2022,Terengganu,,,,
MVZT(KLT) 1542/2022 (ob_105759),Kemaman,ESPEKS 7,Forest,1,6/7/2022,6/10/2022,Terengganu,,,,
